'Elapsed time','ECG 1','ECG 2','ECG 3','ECG 4'
'0:00.086',-0.280,-0.120,0.140,0.310
'0:00.088',-0.270,-0.120,0.140,0.290
'0:00.090',-0.260,-0.120,0.130,0.270
'0:00.092',-0.260,-0.110,0.140,0.300
'0:00.094',-0.270,-0.090,0.170,0.340
'0:00.096',-0.280,-0.110,0.170,0.350
'0:00.098',-0.270,-0.110,0.180,0.350
'0:00.100',-0.270,-0.100,0.180,0.340
'0:00.102',-0.260,-0.100,0.170,0.330
'0:00.104',-0.240,-0.090,0.170,0.310
'0:00.106',-0.220,-0.090,0.170,0.310
'0:00.108',-0.220,-0.080,0.180,0.310
'0:00.110',-0.220,-0.070,0.190,0.300
'0:00.112',-0.210,-0.070,0.180,0.290
'0:00.114',-0.220,-0.070,0.170,0.290
'0:00.116',-0.230,-0.080,0.160,0.300
'0:00.118',-0.230,-0.100,0.160,0.300
'0:00.120',-0.230,-0.110,0.160,0.300
'0:00.122',-0.230,-0.090,0.170,0.280
'0:00.124',-0.210,-0.090,0.170,0.270
'0:00.126',-0.190,-0.090,0.140,0.260
'0:00.128',-0.190,-0.100,0.130,0.250
'0:00.130',-0.200,-0.110,0.120,0.240
'0:00.132',-0.200,-0.120,0.120,0.240
'0:00.134',-0.210,-0.110,0.120,0.250
'0:00.136',-0.220,-0.080,0.130,0.270
'0:00.138',-0.210,-0.080,0.120,0.240
'0:00.140',-0.190,-0.080,0.100,0.220
'0:00.142',-0.180,-0.090,0.100,0.220
'0:00.144',-0.190,-0.090,0.100,0.230
'0:00.146',-0.200,-0.080,0.110,0.250
'0:00.148',-0.210,-0.060,0.110,0.270
'0:00.150',-0.220,-0.050,0.100,0.280
'0:00.152',-0.200,-0.060,0.090,0.270
'0:00.154',-0.190,-0.060,0.080,0.240
'0:00.156',-0.170,-0.050,0.070,0.210
'0:00.158',-0.160,-0.050,0.070,0.210
'0:00.160',-0.150,-0.050,0.080,0.200
'0:00.162',-0.170,-0.040,0.090,0.200
'0:00.164',-0.180,-0.030,0.100,0.210
'0:00.166',-0.180,-0.030,0.110,0.210
'0:00.168',-0.160,-0.030,0.100,0.210
'0:00.170',-0.140,-0.030,0.090,0.180
'0:00.172',-0.120,-0.040,0.090,0.150
'0:00.174',-0.100,-0.050,0.090,0.140
'0:00.176',-0.080,-0.050,0.110,0.160
'0:00.178',-0.090,-0.040,0.120,0.180
'0:00.180',-0.090,-0.040,0.120,0.200
'0:00.182',-0.100,-0.020,0.120,0.210
'0:00.184',-0.100,-0.010,0.120,0.210
'0:00.186',-0.090,-0.010,0.120,0.200
'0:00.188',-0.080,-0.010,0.100,0.170
'0:00.190',-0.060,-0.010,0.090,0.160
'0:00.192',-0.060,0.000,0.090,0.170
'0:00.194',-0.040,0.000,0.100,0.190
'0:00.196',-0.050,-0.010,0.100,0.190
'0:00.198',-0.060,-0.010,0.110,0.180
'0:00.200',-0.050,0.000,0.110,0.180
'0:00.202',-0.040,0.010,0.100,0.180
'0:00.204',-0.040,0.000,0.090,0.150
'0:00.206',-0.040,0.020,0.090,0.140
'0:00.208',-0.040,0.010,0.090,0.130
'0:00.210',-0.040,0.010,0.100,0.130
'0:00.212',-0.050,0.010,0.100,0.140
'0:00.214',-0.050,0.010,0.100,0.150
'0:00.216',-0.050,0.020,0.110,0.170
'0:00.218',-0.060,0.020,0.120,0.160
'0:00.220',-0.070,0.040,0.120,0.150
'0:00.222',-0.060,0.030,0.120,0.130
'0:00.224',-0.040,0.030,0.120,0.120
'0:00.226',-0.040,0.020,0.110,0.120
'0:00.228',-0.030,0.020,0.110,0.120
'0:00.230',-0.040,0.030,0.110,0.130
'0:00.232',-0.050,0.030,0.120,0.140
'0:00.234',-0.050,0.050,0.130,0.170
'0:00.236',-0.040,0.050,0.120,0.180
'0:00.238',-0.020,0.050,0.110,0.150
'0:00.240',0.000,0.040,0.100,0.120
'0:00.242',0.000,0.030,0.100,0.110
'0:00.244',0.010,0.020,0.100,0.120
'0:00.246',0.000,0.030,0.100,0.130
'0:00.248',0.000,0.040,0.100,0.150
'0:00.250',0.000,0.060,0.110,0.150
'0:00.252',0.020,0.050,0.110,0.130
'0:00.254',0.020,0.060,0.100,0.100
'0:00.256',0.030,0.060,0.100,0.090
'0:00.258',0.040,0.050,0.100,0.080
'0:00.260',0.040,0.040,0.100,0.080
'0:00.262',0.020,0.060,0.110,0.100
'0:00.264',0.010,0.060,0.110,0.120
'0:00.266',0.020,0.050,0.100,0.120
'0:00.268',0.030,0.030,0.100,0.100
'0:00.270',0.040,0.020,0.100,0.070
'0:00.272',0.050,0.010,0.110,0.040
'0:00.274',0.060,0.010,0.110,0.040
'0:00.276',0.050,0.030,0.110,0.050
'0:00.278',0.030,0.040,0.120,0.070
'0:00.280',0.010,0.050,0.110,0.080
'0:00.282',0.000,0.050,0.120,0.090
'0:00.284',0.010,0.040,0.120,0.090
'0:00.286',0.020,0.040,0.110,0.080
'0:00.288',0.020,0.040,0.110,0.060
'0:00.290',0.030,0.050,0.110,0.060
'0:00.292',0.040,0.040,0.100,0.070
'0:00.294',0.050,0.030,0.090,0.070
'0:00.296',0.040,0.020,0.090,0.090
'0:00.298',0.030,0.010,0.100,0.100
'0:00.300',0.020,0.020,0.100,0.100
'0:00.302',0.020,0.020,0.100,0.100
'0:00.304',0.010,0.030,0.100,0.090
'0:00.306',0.020,0.020,0.100,0.080
'0:00.308',0.040,0.030,0.080,0.070
'0:00.310',0.060,0.030,0.070,0.070
'0:00.312',0.060,0.030,0.080,0.070
'0:00.314',0.050,0.030,0.090,0.080
'0:00.316',0.040,0.030,0.090,0.080
'0:00.318',0.030,0.040,0.090,0.090
'0:00.320',0.020,0.040,0.090,0.080
'0:00.322',0.030,0.020,0.060,0.050
'0:00.324',0.050,0.010,0.050,0.030
'0:00.326',0.050,0.010,0.040,0.020
'0:00.328',0.040,0.000,0.030,0.020
'0:00.330',0.020,0.000,0.040,0.020
'0:00.332',0.000,0.010,0.050,0.050
'0:00.334',0.000,0.010,0.050,0.060
'0:00.336',0.000,0.000,0.040,0.040
'0:00.338',0.010,0.000,0.040,0.030
'0:00.340',0.020,0.000,0.030,0.020
'0:00.342',0.020,-0.010,0.030,0.030
'0:00.344',0.010,-0.010,0.030,0.040
'0:00.346',-0.010,0.010,0.050,0.060
'0:00.348',-0.020,0.020,0.060,0.070
'0:00.350',-0.020,0.010,0.060,0.070
'0:00.352',-0.020,0.000,0.060,0.050
'0:00.354',-0.010,-0.020,0.060,0.030
'0:00.356',0.000,-0.030,0.050,0.040
'0:00.358',0.000,-0.030,0.040,0.050
'0:00.360',0.000,-0.010,0.050,0.090
'0:00.362',-0.020,0.000,0.070,0.130
'0:00.364',-0.030,0.000,0.080,0.130
'0:00.366',-0.020,0.000,0.080,0.140
'0:00.368',0.000,-0.010,0.100,0.130
'0:00.370',0.000,-0.020,0.100,0.110
'0:00.372',0.000,-0.010,0.100,0.100
'0:00.374',0.000,0.000,0.100,0.100
'0:00.376',0.010,0.010,0.110,0.110
'0:00.378',0.000,0.010,0.120,0.120
'0:00.380',-0.010,0.000,0.120,0.120
'0:00.382',-0.020,0.010,0.120,0.120
'0:00.384',-0.010,0.020,0.120,0.110
'0:00.386',0.000,0.020,0.110,0.090
'0:00.388',0.010,0.040,0.110,0.080
'0:00.390',0.020,0.040,0.100,0.080
'0:00.392',0.020,0.030,0.090,0.070
'0:00.394',0.020,0.010,0.080,0.070
'0:00.396',0.030,0.010,0.090,0.080
'0:00.398',0.030,0.010,0.090,0.070
'0:00.400',0.030,0.010,0.090,0.060
'0:00.402',0.020,0.020,0.090,0.070
'0:00.404',0.020,0.040,0.090,0.070
'0:00.406',0.040,0.050,0.080,0.050
'0:00.408',0.050,0.030,0.080,0.040
'0:00.410',0.070,0.020,0.080,0.020
'0:00.412',0.060,0.030,0.070,0.010
'0:00.414',0.060,0.040,0.060,0.010
'0:00.416',0.070,0.060,0.060,0.020
'0:00.418',0.070,0.060,0.060,0.030
'0:00.420',0.080,0.040,0.050,0.010
'0:00.422',0.090,0.040,0.050,0.000
'0:00.424',0.100,0.040,0.050,0.000
'0:00.426',0.100,0.040,0.050,0.000
'0:00.428',0.090,0.040,0.050,0.000
'0:00.430',0.070,0.050,0.060,0.020
'0:00.432',0.070,0.060,0.060,0.030
'0:00.434',0.070,0.060,0.050,0.020
'0:00.436',0.090,0.060,0.050,0.000
'0:00.438',0.110,0.060,0.040,-0.010
'0:00.440',0.120,0.060,0.030,-0.030
'0:00.442',0.110,0.050,0.040,-0.030
'0:00.444',0.100,0.070,0.060,-0.020
'0:00.446',0.070,0.090,0.090,0.010
'0:00.448',0.060,0.090,0.090,0.020
'0:00.450',0.070,0.070,0.070,0.020
'0:00.452',0.090,0.050,0.050,-0.010
'0:00.454',0.130,0.030,0.010,-0.070
'0:00.456',0.160,0.020,-0.050,-0.140
'0:00.458',0.180,0.020,-0.110,-0.180
'0:00.460',0.190,0.000,-0.170,-0.220
'0:00.462',0.200,-0.020,-0.230,-0.260
'0:00.464',0.190,-0.030,-0.220,-0.250
'0:00.466',0.200,0.000,-0.120,-0.190
'0:00.468',0.230,0.090,0.060,-0.080
'0:00.470',0.260,0.250,0.350,0.090
'0:00.472',0.290,0.500,0.750,0.330
'0:00.474',0.380,0.840,1.230,0.580
'0:00.476',0.510,1.250,1.770,0.850
'0:00.478',0.650,1.710,2.350,1.140
'0:00.480',0.790,2.210,2.980,1.470
'0:00.482',0.920,2.740,3.620,1.810
'0:00.484',1.050,3.270,4.250,2.150
'0:00.486',1.160,3.790,4.860,2.480
'0:00.488',1.250,4.260,5.370,2.770
'0:00.490',1.310,4.590,5.710,2.950
'0:00.492',1.320,4.770,5.880,3.050
'0:00.494',1.290,4.790,5.880,3.090
'0:00.496',1.170,4.640,5.680,3.040
'0:00.498',0.970,4.260,5.230,2.880
'0:00.500',0.690,3.660,4.560,2.630
'0:00.502',0.430,2.980,3.780,2.300
'0:00.504',0.230,2.310,3.040,1.920
'0:00.506',0.100,1.740,2.360,1.570
'0:00.508',0.030,1.270,1.770,1.230
'0:00.510',-0.010,0.870,1.260,0.910
'0:00.512',-0.050,0.530,0.820,0.640
'0:00.514',-0.090,0.250,0.450,0.420
'0:00.516',-0.100,0.030,0.150,0.240
'0:00.518',-0.110,-0.160,-0.110,0.060
'0:00.520',-0.120,-0.320,-0.330,-0.100
'0:00.522',-0.120,-0.460,-0.520,-0.240
'0:00.524',-0.120,-0.580,-0.670,-0.360
'0:00.526',-0.130,-0.680,-0.790,-0.440
'0:00.528',-0.130,-0.750,-0.880,-0.500
'0:00.530',-0.150,-0.790,-0.960,-0.530
'0:00.532',-0.140,-0.840,-1.010,-0.560
'0:00.534',-0.120,-0.880,-1.070,-0.610
'0:00.536',-0.100,-0.900,-1.100,-0.660
'0:00.538',-0.090,-0.920,-1.130,-0.700
'0:00.540',-0.080,-0.940,-1.150,-0.730
'0:00.542',-0.070,-0.930,-1.150,-0.740
'0:00.544',-0.080,-0.910,-1.160,-0.750
'0:00.546',-0.090,-0.910,-1.150,-0.750
'0:00.548',-0.090,-0.920,-1.140,-0.740
'0:00.550',-0.080,-0.910,-1.160,-0.730
'0:00.552',-0.080,-0.900,-1.170,-0.740
'0:00.554',-0.050,-0.890,-1.160,-0.750
'0:00.556',-0.030,-0.880,-1.150,-0.760
'0:00.558',-0.030,-0.850,-1.130,-0.740
'0:00.560',-0.010,-0.840,-1.100,-0.720
'0:00.562',-0.010,-0.830,-1.070,-0.720
'0:00.564',-0.020,-0.810,-1.050,-0.710
'0:00.566',-0.020,-0.800,-1.040,-0.700
'0:00.568',-0.010,-0.770,-1.030,-0.700
'0:00.570',0.000,-0.750,-1.010,-0.700
'0:00.572',0.000,-0.710,-0.970,-0.680
'0:00.574',0.010,-0.690,-0.960,-0.680
'0:00.576',0.030,-0.680,-0.950,-0.670
'0:00.578',0.030,-0.690,-0.940,-0.650
'0:00.580',0.030,-0.680,-0.920,-0.620
'0:00.582',0.020,-0.670,-0.910,-0.610
'0:00.584',0.010,-0.640,-0.900,-0.600
'0:00.586',0.010,-0.610,-0.880,-0.600
'0:00.588',0.020,-0.600,-0.870,-0.610
'0:00.590',0.030,-0.600,-0.850,-0.610
'0:00.592',0.040,-0.600,-0.830,-0.600
'0:00.594',0.030,-0.590,-0.820,-0.580
'0:00.596',0.020,-0.570,-0.800,-0.570
'0:00.598',0.010,-0.550,-0.780,-0.550
'0:00.600',0.000,-0.510,-0.740,-0.520
'0:00.602',0.010,-0.490,-0.720,-0.510
'0:00.604',0.030,-0.490,-0.720,-0.530
'0:00.606',0.050,-0.480,-0.730,-0.540
'0:00.608',0.060,-0.480,-0.730,-0.550
'0:00.610',0.070,-0.480,-0.720,-0.550
'0:00.612',0.070,-0.470,-0.710,-0.540
'0:00.614',0.040,-0.450,-0.690,-0.530
'0:00.616',0.050,-0.420,-0.680,-0.510
'0:00.618',0.060,-0.400,-0.680,-0.520
'0:00.620',0.080,-0.390,-0.680,-0.530
'0:00.622',0.090,-0.380,-0.670,-0.540
'0:00.624',0.100,-0.370,-0.670,-0.540
'0:00.626',0.100,-0.350,-0.660,-0.540
'0:00.628',0.090,-0.330,-0.640,-0.530
'0:00.630',0.080,-0.330,-0.630,-0.520
'0:00.632',0.100,-0.330,-0.630,-0.510
'0:00.634',0.120,-0.310,-0.630,-0.500
'0:00.636',0.140,-0.290,-0.630,-0.510
'0:00.638',0.160,-0.280,-0.630,-0.550
'0:00.640',0.180,-0.270,-0.640,-0.570
'0:00.642',0.180,-0.240,-0.630,-0.560
'0:00.644',0.180,-0.230,-0.620,-0.550
'0:00.646',0.190,-0.220,-0.620,-0.550
'0:00.648',0.200,-0.200,-0.610,-0.560
'0:00.650',0.220,-0.190,-0.600,-0.560
'0:00.652',0.230,-0.190,-0.610,-0.580
'0:00.654',0.240,-0.190,-0.620,-0.610
'0:00.656',0.260,-0.170,-0.610,-0.620
'0:00.658',0.290,-0.170,-0.600,-0.620
'0:00.660',0.300,-0.170,-0.600,-0.630
'0:00.662',0.310,-0.160,-0.600,-0.630
'0:00.664',0.310,-0.140,-0.590,-0.630
'0:00.666',0.330,-0.110,-0.590,-0.630
'0:00.668',0.360,-0.090,-0.580,-0.640
'0:00.670',0.370,-0.060,-0.580,-0.650
'0:00.672',0.380,-0.050,-0.580,-0.670
'0:00.674',0.410,-0.040,-0.580,-0.670
'0:00.676',0.420,-0.050,-0.560,-0.660
'0:00.678',0.410,-0.050,-0.550,-0.660
'0:00.680',0.400,-0.030,-0.540,-0.650
'0:00.682',0.400,-0.020,-0.540,-0.650
'0:00.684',0.390,-0.010,-0.540,-0.640
'0:00.686',0.400,0.000,-0.540,-0.650
'0:00.688',0.420,0.000,-0.540,-0.670
'0:00.690',0.430,-0.010,-0.540,-0.680
'0:00.692',0.430,-0.020,-0.530,-0.660
'0:00.694',0.410,-0.030,-0.510,-0.640
'0:00.696',0.390,-0.020,-0.500,-0.620
'0:00.698',0.380,-0.010,-0.490,-0.580
'0:00.700',0.390,-0.010,-0.470,-0.550
'0:00.702',0.380,-0.030,-0.460,-0.540
'0:00.704',0.370,-0.030,-0.450,-0.530
'0:00.706',0.360,-0.030,-0.450,-0.530
'0:00.708',0.340,-0.040,-0.430,-0.500
'0:00.710',0.320,-0.040,-0.390,-0.470
'0:00.712',0.280,-0.040,-0.370,-0.420
'0:00.714',0.230,-0.040,-0.340,-0.370
'0:00.716',0.190,-0.060,-0.310,-0.340
'0:00.718',0.160,-0.080,-0.280,-0.310
'0:00.720',0.140,-0.090,-0.270,-0.300
'0:00.722',0.110,-0.090,-0.240,-0.270
'0:00.724',0.090,-0.100,-0.220,-0.240
'0:00.726',0.040,-0.090,-0.180,-0.170
'0:00.728',0.000,-0.080,-0.150,-0.110
'0:00.730',-0.040,-0.090,-0.130,-0.070
'0:00.732',-0.070,-0.100,-0.120,-0.030
'0:00.734',-0.100,-0.110,-0.100,0.000
'0:00.736',-0.130,-0.120,-0.070,0.010
'0:00.738',-0.140,-0.130,-0.060,0.020
'0:00.740',-0.160,-0.110,-0.050,0.060
'0:00.742',-0.170,-0.100,-0.020,0.110
'0:00.744',-0.190,-0.120,0.010,0.140
'0:00.746',-0.210,-0.130,0.030,0.170
'0:00.748',-0.230,-0.130,0.040,0.210
'0:00.750',-0.240,-0.140,0.060,0.240
'0:00.752',-0.260,-0.130,0.080,0.270
'0:00.754',-0.270,-0.120,0.090,0.280
'0:00.756',-0.280,-0.110,0.100,0.280
'0:00.758',-0.280,-0.120,0.100,0.290
'0:00.760',-0.290,-0.130,0.120,0.310
'0:00.762',-0.310,-0.120,0.140,0.320
'0:00.764',-0.330,-0.100,0.160,0.330
'0:00.766',-0.330,-0.100,0.170,0.340
'0:00.768',-0.330,-0.070,0.180,0.370
'0:00.770',-0.340,-0.060,0.200,0.360
'0:00.772',-0.330,-0.070,0.200,0.340
'0:00.774',-0.320,-0.080,0.200,0.330
'0:00.776',-0.310,-0.090,0.200,0.330
'0:00.778',-0.310,-0.100,0.200,0.340
'0:00.780',-0.320,-0.090,0.210,0.340
'0:00.782',-0.330,-0.060,0.210,0.370
'0:00.784',-0.330,-0.050,0.190,0.370
'0:00.786',-0.310,-0.070,0.180,0.360
'0:00.788',-0.300,-0.070,0.160,0.340
'0:00.790',-0.290,-0.080,0.150,0.330
'0:00.792',-0.280,-0.090,0.150,0.320
'0:00.794',-0.280,-0.090,0.150,0.310
'0:00.796',-0.290,-0.070,0.160,0.320
'0:00.798',-0.290,-0.050,0.160,0.340
'0:00.800',-0.300,-0.050,0.170,0.340
'0:00.802',-0.300,-0.060,0.170,0.330
'0:00.804',-0.280,-0.060,0.170,0.290
'0:00.806',-0.270,-0.060,0.160,0.270
'0:00.808',-0.260,-0.060,0.160,0.260
'0:00.810',-0.260,-0.060,0.180,0.280
'0:00.812',-0.270,-0.050,0.190,0.310
'0:00.814',-0.260,-0.050,0.190,0.320
'0:00.816',-0.260,-0.050,0.190,0.310
'0:00.818',-0.250,-0.050,0.200,0.300
'0:00.820',-0.240,-0.060,0.190,0.280
'0:00.822',-0.220,-0.060,0.180,0.250
'0:00.824',-0.220,-0.050,0.170,0.240
'0:00.826',-0.220,-0.040,0.160,0.240
'0:00.828',-0.220,-0.040,0.170,0.250
'0:00.830',-0.230,-0.040,0.170,0.260
'0:00.832',-0.230,-0.050,0.170,0.260
'0:00.834',-0.230,-0.050,0.170,0.260
'0:00.836',-0.220,-0.050,0.160,0.250
'0:00.838',-0.200,-0.030,0.160,0.240
'0:00.840',-0.190,-0.020,0.170,0.240
'0:00.842',-0.180,-0.020,0.170,0.220
'0:00.844',-0.180,-0.020,0.160,0.210
'0:00.846',-0.180,-0.020,0.160,0.220
'0:00.848',-0.190,-0.020,0.160,0.230
'0:00.850',-0.190,-0.010,0.150,0.230
'0:00.852',-0.190,0.000,0.140,0.230
'0:00.854',-0.180,-0.010,0.140,0.220
'0:00.856',-0.160,-0.020,0.130,0.200
'0:00.858',-0.130,-0.010,0.130,0.200
'0:00.860',-0.130,0.000,0.140,0.190
'0:00.862',-0.150,0.000,0.140,0.200
'0:00.864',-0.180,0.000,0.150,0.220
'0:00.866',-0.180,0.010,0.150,0.240
'0:00.868',-0.180,0.040,0.150,0.250
'0:00.870',-0.170,0.050,0.140,0.230
'0:00.872',-0.150,0.040,0.120,0.210
'0:00.874',-0.140,0.030,0.130,0.200
'0:00.876',-0.110,0.020,0.140,0.190
'0:00.878',-0.110,0.010,0.160,0.190
'0:00.880',-0.130,0.020,0.170,0.200
'0:00.882',-0.130,0.040,0.170,0.220
'0:00.884',-0.130,0.060,0.180,0.220
'0:00.886',-0.120,0.070,0.170,0.200
'0:00.888',-0.100,0.070,0.150,0.180
'0:00.890',-0.080,0.050,0.150,0.160
'0:00.892',-0.070,0.040,0.140,0.160
'0:00.894',-0.070,0.040,0.130,0.180
'0:00.896',-0.090,0.040,0.110,0.190
'0:00.898',-0.100,0.040,0.110,0.190
'0:00.900',-0.080,0.050,0.120,0.180
'0:00.902',-0.060,0.050,0.130,0.170
'0:00.904',-0.040,0.050,0.130,0.150
'0:00.906',-0.010,0.040,0.130,0.130
'0:00.908',-0.020,0.050,0.130,0.130
'0:00.910',-0.030,0.050,0.120,0.140
'0:00.912',-0.040,0.050,0.130,0.130
'0:00.914',-0.050,0.050,0.140,0.130
'0:00.916',-0.050,0.050,0.150,0.140
'0:00.918',-0.030,0.040,0.150,0.140
'0:00.920',-0.020,0.040,0.140,0.130
'0:00.922',-0.010,0.060,0.120,0.120
'0:00.924',-0.020,0.060,0.120,0.130
'0:00.926',-0.020,0.050,0.120,0.120
'0:00.928',-0.020,0.040,0.120,0.120
'0:00.930',-0.020,0.030,0.120,0.130
'0:00.932',-0.020,0.030,0.120,0.130
'0:00.934',-0.020,0.040,0.130,0.140
'0:00.936',-0.010,0.060,0.140,0.130
'0:00.938',0.000,0.080,0.150,0.120
'0:00.940',0.000,0.070,0.150,0.110
'0:00.942',0.000,0.070,0.150,0.110
'0:00.944',0.010,0.060,0.140,0.110
'0:00.946',0.000,0.060,0.140,0.100
'0:00.948',0.000,0.060,0.140,0.100
'0:00.950',0.000,0.080,0.140,0.110
'0:00.952',-0.010,0.100,0.120,0.120
'0:00.954',-0.010,0.100,0.110,0.100
'0:00.956',0.000,0.080,0.100,0.090
'0:00.958',0.010,0.060,0.090,0.090
'0:00.960',0.010,0.050,0.100,0.100
'0:00.962',0.000,0.040,0.100,0.100
'0:00.964',-0.020,0.050,0.110,0.120
'0:00.966',-0.030,0.070,0.120,0.140
'0:00.968',-0.030,0.080,0.130,0.140
'0:00.970',-0.030,0.080,0.130,0.120
'0:00.972',-0.020,0.070,0.130,0.100
'0:00.974',-0.010,0.060,0.130,0.090
'0:00.976',-0.010,0.040,0.130,0.080
'0:00.978',-0.020,0.040,0.120,0.090
'0:00.980',-0.040,0.060,0.120,0.120
'0:00.982',-0.040,0.070,0.120,0.120
'0:00.984',-0.040,0.060,0.110,0.120
'0:00.986',-0.040,0.060,0.100,0.110
'0:00.988',-0.030,0.060,0.090,0.080
'0:00.990',-0.020,0.050,0.080,0.070
'0:00.992',-0.010,0.050,0.080,0.080
'0:00.994',-0.030,0.070,0.090,0.100
'0:00.996',-0.040,0.080,0.090,0.100
'0:00.998',-0.050,0.070,0.100,0.100
'0:01.000',-0.050,0.070,0.110,0.110
'0:01.002',-0.040,0.060,0.110,0.110
'0:01.004',-0.030,0.050,0.110,0.090
'0:01.006',-0.020,0.050,0.100,0.070
'0:01.008',-0.010,0.070,0.100,0.080
'0:01.010',-0.010,0.060,0.100,0.080
'0:01.012',-0.020,0.060,0.090,0.080
'0:01.014',-0.030,0.060,0.100,0.090
'0:01.016',-0.020,0.060,0.110,0.110
'0:01.018',-0.010,0.050,0.120,0.100
'0:01.020',0.000,0.050,0.100,0.070
'0:01.022',0.000,0.060,0.100,0.060
'0:01.024',0.000,0.060,0.090,0.070
'0:01.026',0.000,0.050,0.080,0.060
'0:01.028',0.020,0.040,0.060,0.050
'0:01.030',0.000,0.040,0.060,0.070
'0:01.032',-0.020,0.050,0.060,0.090
'0:01.034',-0.020,0.050,0.060,0.090
'0:01.036',-0.020,0.040,0.050,0.080
'0:01.038',-0.010,0.030,0.040,0.060
'0:01.040',0.000,0.020,0.040,0.060
'0:01.042',0.000,0.000,0.030,0.070
'0:01.044',0.000,0.000,0.030,0.070
'0:01.046',-0.020,-0.010,0.040,0.070
'0:01.048',-0.040,-0.010,0.040,0.080
'0:01.050',-0.050,0.010,0.030,0.110
'0:01.052',-0.040,0.010,0.030,0.100
'0:01.054',-0.030,0.000,0.030,0.080
'0:01.056',-0.020,0.010,0.030,0.070
'0:01.058',-0.010,0.010,0.030,0.070
'0:01.060',0.000,0.000,0.030,0.080
'0:01.062',-0.010,0.000,0.040,0.090
'0:01.064',-0.050,0.010,0.060,0.130
'0:01.066',-0.060,0.010,0.070,0.150
'0:01.068',-0.040,0.000,0.070,0.130
'0:01.070',-0.040,-0.010,0.070,0.110
'0:01.072',-0.040,0.000,0.080,0.090
'0:01.074',-0.040,0.030,0.090,0.090
'0:01.076',-0.030,0.030,0.110,0.100
'0:01.078',-0.030,0.040,0.110,0.110
'0:01.080',-0.040,0.050,0.120,0.130
'0:01.082',-0.050,0.060,0.140,0.140
'0:01.084',-0.050,0.040,0.150,0.130
'0:01.086',-0.040,0.030,0.140,0.110
'0:01.088',-0.040,0.030,0.120,0.100
'0:01.090',-0.040,0.040,0.120,0.100
'0:01.092',-0.050,0.050,0.130,0.130
'0:01.094',-0.050,0.030,0.120,0.140
'0:01.096',-0.040,0.020,0.110,0.130
'0:01.098',-0.040,0.020,0.110,0.140
'0:01.100',-0.040,0.020,0.110,0.130
'0:01.102',-0.030,0.000,0.090,0.100
'0:01.104',-0.020,0.000,0.080,0.070
'0:01.106',-0.020,0.010,0.080,0.060
'0:01.108',-0.010,0.020,0.080,0.060
'0:01.110',0.000,0.020,0.080,0.060
'0:01.112',0.010,0.020,0.080,0.060
'0:01.114',0.020,0.030,0.070,0.070
'0:01.116',0.020,0.030,0.070,0.080
'0:01.118',0.040,0.020,0.070,0.050
'0:01.120',0.050,0.040,0.070,0.040
'0:01.122',0.050,0.050,0.070,0.030
'0:01.124',0.050,0.060,0.080,0.020
'0:01.126',0.070,0.050,0.070,0.010
'0:01.128',0.080,0.040,0.060,0.000
'0:01.130',0.070,0.050,0.070,0.000
