'Elapsed time','ECG I','ECG I filtered'
'0:00.368',0.135,0.065
'0:00.370',0.140,0.060
'0:00.372',0.125,0.060
'0:00.374',0.125,0.060
'0:00.376',0.135,0.065
'0:00.378',0.145,0.065
'0:00.380',0.145,0.065
'0:00.382',0.140,0.070
'0:00.384',0.135,0.070
'0:00.386',0.120,0.075
'0:00.388',0.120,0.075
'0:00.390',0.110,0.075
'0:00.392',0.115,0.075
'0:00.394',0.120,0.070
'0:00.396',0.135,0.070
'0:00.398',0.135,0.065
'0:00.400',0.130,0.065
'0:00.402',0.135,0.060
'0:00.404',0.130,0.055
'0:00.406',0.110,0.055
'0:00.408',0.110,0.055
'0:00.410',0.110,0.050
'0:00.412',0.105,0.050
'0:00.414',0.115,0.050
'0:00.416',0.125,0.050
'0:00.418',0.130,0.050
'0:00.420',0.115,0.045
'0:00.422',0.120,0.045
'0:00.424',0.115,0.045
'0:00.426',0.105,0.040
'0:00.428',0.100,0.035
'0:00.430',0.105,0.035
'0:00.432',0.090,0.030
'0:00.434',0.100,0.030
'0:00.436',0.105,0.025
'0:00.438',0.110,0.025
'0:00.440',0.120,0.030
'0:00.442',0.135,0.030
'0:00.444',0.120,0.035
'0:00.446',0.110,0.040
'0:00.448',0.095,0.045
'0:00.450',0.100,0.045
'0:00.452',0.095,0.045
'0:00.454',0.100,0.045
'0:00.456',0.110,0.045
'0:00.458',0.110,0.045
'0:00.460',0.115,0.045
'0:00.462',0.115,0.045
'0:00.464',0.095,0.050
'0:00.466',0.080,0.050
'0:00.468',0.075,0.050
'0:00.470',0.070,0.050
'0:00.472',0.070,0.045
'0:00.474',0.075,0.040
'0:00.476',0.090,0.035
'0:00.478',0.085,0.030
'0:00.480',0.100,0.020
'0:00.482',0.125,0.020
'0:00.484',0.110,0.020
'0:00.486',0.105,0.020
'0:00.488',0.075,0.025
'0:00.490',0.080,0.035
'0:00.492',0.065,0.040
'0:00.494',0.075,0.040
'0:00.496',0.080,0.045
'0:00.498',0.090,0.045
'0:00.500',0.100,0.040
'0:00.502',0.115,0.035
'0:00.504',0.105,0.030
'0:00.506',0.090,0.025
'0:00.508',0.085,0.025
'0:00.510',0.090,0.030
'0:00.512',0.085,0.030
'0:00.514',0.095,0.035
'0:00.516',0.110,0.045
'0:00.518',0.135,0.050
'0:00.520',0.130,0.055
'0:00.522',0.135,0.060
'0:00.524',0.125,0.060
'0:00.526',0.120,0.060
'0:00.528',0.110,0.065
'0:00.530',0.105,0.060
'0:00.532',0.095,0.060
'0:00.534',0.110,0.060
'0:00.536',0.140,0.055
'0:00.538',0.135,0.055
'0:00.540',0.140,0.050
'0:00.542',0.140,0.045
'0:00.544',0.130,0.045
'0:00.546',0.125,0.040
'0:00.548',0.120,0.045
'0:00.550',0.105,0.050
'0:00.552',0.100,0.055
'0:00.554',0.120,0.060
'0:00.556',0.150,0.070
'0:00.558',0.160,0.075
'0:00.560',0.160,0.080
'0:00.562',0.170,0.085
'0:00.564',0.160,0.080
'0:00.566',0.120,0.075
'0:00.568',0.115,0.070
'0:00.570',0.115,0.065
'0:00.572',0.095,0.055
'0:00.574',0.095,0.050
'0:00.576',0.100,0.045
'0:00.578',0.095,0.040
'0:00.580',0.090,0.040
'0:00.582',0.090,0.035
'0:00.584',0.085,0.030
'0:00.586',0.055,0.020
'0:00.588',0.065,0.015
'0:00.590',0.060,0.010
'0:00.592',0.065,0.010
'0:00.594',0.075,0.005
'0:00.596',0.080,0.005
'0:00.598',0.080,0.010
'0:00.600',0.095,0.015
'0:00.602',0.075,0.015
'0:00.604',0.055,0.020
'0:00.606',0.050,0.020
'0:00.608',0.045,0.020
'0:00.610',0.035,0.020
'0:00.612',0.045,0.020
'0:00.614',0.045,0.015
'0:00.616',0.055,0.015
'0:00.618',0.060,0.015
'0:00.620',0.060,0.010
'0:00.622',0.060,0.010
'0:00.624',0.060,0.005
'0:00.626',0.050,0.005
'0:00.628',0.035,0.000
'0:00.630',0.020,-0.005
'0:00.632',0.025,-0.010
'0:00.634',0.035,-0.010
'0:00.636',0.045,-0.010
'0:00.638',0.055,-0.010
'0:00.640',0.060,-0.010
'0:00.642',0.055,-0.010
'0:00.644',0.035,-0.010
'0:00.646',0.025,-0.010
'0:00.648',0.030,-0.015
'0:00.650',0.020,-0.015
'0:00.652',0.030,-0.020
'0:00.654',0.050,-0.025
'0:00.656',0.030,-0.030
'0:00.658',0.040,-0.030
'0:00.660',0.050,-0.030
'0:00.662',0.040,-0.030
'0:00.664',0.025,-0.030
'0:00.666',0.000,-0.025
'0:00.668',-0.010,-0.025
'0:00.670',-0.025,-0.030
'0:00.672',-0.030,-0.035
'0:00.674',-0.025,-0.040
'0:00.676',-0.015,-0.045
'0:00.678',-0.005,-0.045
'0:00.680',0.030,-0.035
'0:00.682',0.065,-0.015
'0:00.684',0.110,0.025
'0:00.686',0.160,0.075
'0:00.688',0.200,0.140
'0:00.690',0.255,0.220
'0:00.692',0.335,0.305
'0:00.694',0.425,0.390
'0:00.696',0.530,0.470
'0:00.698',0.645,0.535
'0:00.700',0.720,0.590
'0:00.702',0.735,0.620
'0:00.704',0.685,0.625
'0:00.706',0.630,0.600
'0:00.708',0.570,0.555
'0:00.710',0.485,0.485
'0:00.712',0.410,0.395
'0:00.714',0.335,0.295
'0:00.716',0.230,0.190
'0:00.718',0.100,0.090
'0:00.720',0.010,0.000
'0:00.722',-0.060,-0.070
'0:00.724',-0.100,-0.120
'0:00.726',-0.100,-0.145
'0:00.728',-0.090,-0.150
'0:00.730',-0.085,-0.140
'0:00.732',-0.060,-0.115
'0:00.734',-0.020,-0.090
'0:00.736',0.010,-0.060
'0:00.738',0.035,-0.040
'0:00.740',0.040,-0.025
'0:00.742',0.035,-0.015
'0:00.744',0.015,-0.015
'0:00.746',-0.005,-0.020
'0:00.748',-0.020,-0.025
'0:00.750',-0.025,-0.035
'0:00.752',-0.010,-0.035
'0:00.754',0.000,-0.040
'0:00.756',0.005,-0.040
'0:00.758',0.025,-0.040
'0:00.760',0.025,-0.040
'0:00.762',0.020,-0.035
'0:00.764',0.000,-0.035
'0:00.766',0.005,-0.035
'0:00.768',-0.015,-0.040
'0:00.770',-0.020,-0.040
'0:00.772',-0.010,-0.040
'0:00.774',-0.010,-0.045
'0:00.776',0.000,-0.045
'0:00.778',0.010,-0.045
'0:00.780',0.000,-0.045
'0:00.782',0.005,-0.045
'0:00.784',0.005,-0.045
'0:00.786',-0.005,-0.040
'0:00.788',0.000,-0.040
'0:00.790',-0.010,-0.035
'0:00.792',0.000,-0.030
'0:00.794',0.015,-0.030
'0:00.796',0.020,-0.025
'0:00.798',0.025,-0.025
'0:00.800',0.040,-0.025
'0:00.802',0.025,-0.025
'0:00.804',0.010,-0.025
'0:00.806',0.000,-0.025
'0:00.808',-0.005,-0.025
'0:00.810',-0.005,-0.025
'0:00.812',0.005,-0.030
'0:00.814',0.025,-0.030
'0:00.816',0.025,-0.030
'0:00.818',0.030,-0.030
'0:00.820',0.025,-0.025
'0:00.822',0.010,-0.025
'0:00.824',0.020,-0.020
'0:00.826',0.005,-0.020
'0:00.828',0.010,-0.015
'0:00.830',0.005,-0.010
'0:00.832',0.015,-0.010
'0:00.834',0.020,-0.010
'0:00.836',0.035,-0.010
'0:00.838',0.040,-0.010
'0:00.840',0.050,-0.010
'0:00.842',0.050,-0.010
'0:00.844',0.045,-0.010
'0:00.846',0.040,-0.010
'0:00.848',0.025,-0.005
'0:00.850',0.030,0.000
'0:00.852',0.030,0.005
'0:00.854',0.040,0.010
'0:00.856',0.045,0.015
'0:00.858',0.055,0.020
'0:00.860',0.060,0.025
'0:00.862',0.065,0.025
'0:00.864',0.065,0.030
'0:00.866',0.070,0.030
'0:00.868',0.070,0.035
'0:00.870',0.065,0.040
'0:00.872',0.080,0.045
'0:00.874',0.095,0.050
'0:00.876',0.105,0.055
'0:00.878',0.105,0.065
'0:00.880',0.120,0.070
'0:00.882',0.115,0.070
'0:00.884',0.115,0.075
'0:00.886',0.110,0.075
'0:00.888',0.100,0.075
'0:00.890',0.100,0.075
'0:00.892',0.115,0.075
'0:00.894',0.130,0.080
'0:00.896',0.150,0.085
'0:00.898',0.155,0.090
'0:00.900',0.160,0.095
'0:00.902',0.150,0.105
'0:00.904',0.160,0.115
'0:00.906',0.165,0.120
'0:00.908',0.155,0.130
'0:00.910',0.160,0.135
'0:00.912',0.175,0.140
'0:00.914',0.200,0.140
'0:00.916',0.205,0.145
'0:00.918',0.210,0.145
'0:00.920',0.205,0.145
'0:00.922',0.195,0.145
'0:00.924',0.185,0.145
'0:00.926',0.180,0.150
'0:00.928',0.180,0.150
'0:00.930',0.180,0.155
'0:00.932',0.180,0.160
'0:00.934',0.200,0.165
'0:00.936',0.205,0.170
'0:00.938',0.205,0.175
'0:00.940',0.195,0.175
'0:00.942',0.170,0.170
'0:00.944',0.150,0.165
'0:00.946',0.135,0.155
'0:00.948',0.130,0.140
'0:00.950',0.125,0.130
'0:00.952',0.130,0.120
'0:00.954',0.115,0.115
'0:00.956',0.130,0.110
'0:00.958',0.130,0.105
'0:00.960',0.115,0.100
'0:00.962',0.095,0.095
'0:00.964',0.080,0.085
'0:00.966',0.070,0.075
'0:00.968',0.055,0.060
'0:00.970',0.030,0.045
'0:00.972',0.015,0.030
'0:00.974',0.025,0.015
'0:00.976',0.025,0.005
'0:00.978',0.020,-0.005
'0:00.980',0.010,-0.005
'0:00.982',-0.005,-0.005
'0:00.984',-0.020,-0.005
'0:00.986',-0.025,-0.005
'0:00.988',-0.035,-0.005
'0:00.990',-0.030,-0.010
'0:00.992',-0.010,-0.015
'0:00.994',0.000,-0.025
'0:00.996',-0.010,-0.035
'0:00.998',-0.005,-0.040
'0:01.000',-0.010,-0.045
'0:01.002',-0.030,-0.050
'0:01.004',-0.040,-0.050
'0:01.006',-0.055,-0.050
'0:01.008',-0.065,-0.045
'0:01.010',-0.055,-0.050
'0:01.012',-0.040,-0.050
'0:01.014',-0.045,-0.055
'0:01.016',-0.025,-0.060
'0:01.018',-0.035,-0.070
'0:01.020',-0.030,-0.075
'0:01.022',-0.050,-0.075
'0:01.024',-0.055,-0.080
'0:01.026',-0.060,-0.080
'0:01.028',-0.060,-0.075
'0:01.030',-0.045,-0.070
'0:01.032',-0.045,-0.065
'0:01.034',-0.035,-0.060
'0:01.036',-0.020,-0.060
'0:01.038',-0.030,-0.055
'0:01.040',-0.030,-0.055
'0:01.042',-0.050,-0.055
'0:01.044',-0.055,-0.055
'0:01.046',-0.055,-0.055
'0:01.048',-0.060,-0.055
'0:01.050',-0.055,-0.055
'0:01.052',-0.050,-0.055
'0:01.054',-0.040,-0.055
'0:01.056',-0.055,-0.060
'0:01.058',-0.030,-0.060
'0:01.060',-0.055,-0.065
'0:01.062',-0.050,-0.065
'0:01.064',-0.050,-0.065
'0:01.066',-0.060,-0.065
'0:01.068',-0.060,-0.060
'0:01.070',-0.045,-0.060
'0:01.072',-0.040,-0.055
'0:01.074',-0.040,-0.055
'0:01.076',-0.040,-0.055
'0:01.078',-0.040,-0.050
'0:01.080',-0.050,-0.055
'0:01.082',-0.055,-0.055
'0:01.084',-0.055,-0.055
'0:01.086',-0.060,-0.060
'0:01.088',-0.055,-0.060
'0:01.090',-0.030,-0.060
'0:01.092',-0.030,-0.060
'0:01.094',-0.025,-0.060
'0:01.096',-0.020,-0.060
'0:01.098',-0.015,-0.065
'0:01.100',-0.025,-0.065
'0:01.102',-0.035,-0.065
'0:01.104',-0.045,-0.070
'0:01.106',-0.050,-0.070
'0:01.108',-0.055,-0.070
'0:01.110',-0.045,-0.070
'0:01.112',-0.040,-0.065
'0:01.114',-0.020,-0.065
'0:01.116',-0.015,-0.060
'0:01.118',-0.010,-0.055
'0:01.120',-0.015,-0.055
'0:01.122',-0.020,-0.050
'0:01.124',-0.030,-0.055
'0:01.126',-0.035,-0.055
'0:01.128',-0.040,-0.055
'0:01.130',-0.030,-0.060
'0:01.132',-0.030,-0.060
'0:01.134',-0.025,-0.060
'0:01.136',-0.015,-0.060
'0:01.138',-0.015,-0.055
'0:01.140',-0.025,-0.055
'0:01.142',-0.020,-0.050
'0:01.144',-0.035,-0.045
'0:01.146',-0.040,-0.040
'0:01.148',-0.045,-0.040
'0:01.150',-0.045,-0.035
'0:01.152',-0.030,-0.035
'0:01.154',-0.025,-0.035
'0:01.156',-0.005,-0.035
'0:01.158',-0.010,-0.035
'0:01.160',-0.030,-0.035
'0:01.162',-0.030,-0.035
'0:01.164',-0.035,-0.035
'0:01.166',-0.050,-0.035
'0:01.168',-0.060,-0.030
'0:01.170',-0.040,-0.030
'0:01.172',-0.040,-0.030
'0:01.174',-0.030,-0.035
'0:01.176',-0.020,-0.035
'0:01.178',-0.025,-0.035
'0:01.180',-0.040,-0.040
'0:01.182',-0.045,-0.045
'0:01.184',-0.020,-0.045
'0:01.186',-0.050,-0.050
'0:01.188',-0.055,-0.050
'0:01.190',-0.040,-0.050
'0:01.192',-0.030,-0.050
'0:01.194',-0.035,-0.050
'0:01.196',-0.015,-0.050
'0:01.198',-0.020,-0.050
'0:01.200',-0.040,-0.050
'0:01.202',-0.050,-0.050
'0:01.204',-0.055,-0.055
'0:01.206',-0.060,-0.055
'0:01.208',-0.060,-0.060
'0:01.210',-0.055,-0.060
'0:01.212',-0.040,-0.065
'0:01.214',-0.040,-0.065
'0:01.216',-0.035,-0.065
'0:01.218',-0.020,-0.060
'0:01.220',-0.035,-0.060
'0:01.222',-0.045,-0.060
'0:01.224',-0.050,-0.060
'0:01.226',-0.070,-0.060
'0:01.228',-0.070,-0.060
'0:01.230',-0.050,-0.060
'0:01.232',-0.045,-0.060
'0:01.234',-0.035,-0.060
'0:01.236',-0.035,-0.060
'0:01.238',-0.035,-0.060
'0:01.240',-0.045,-0.060
'0:01.242',-0.055,-0.055
'0:01.244',-0.050,-0.050
'0:01.246',-0.050,-0.050
'0:01.248',-0.040,-0.045
'0:01.250',-0.035,-0.045
'0:01.252',-0.025,-0.040
'0:01.254',-0.005,-0.040
'0:01.256',-0.010,-0.040
'0:01.258',-0.025,-0.035
'0:01.260',-0.040,-0.035
'0:01.262',-0.030,-0.030
'0:01.264',-0.035,-0.030
'0:01.266',-0.040,-0.025
'0:01.268',-0.040,-0.025
'0:01.270',-0.025,-0.020
'0:01.272',-0.015,-0.020
'0:01.274',-0.010,-0.020
'0:01.276',0.015,-0.020
'0:01.278',-0.005,-0.020
'0:01.280',-0.005,-0.020
'0:01.282',-0.015,-0.020
'0:01.284',-0.020,-0.025
'0:01.286',-0.025,-0.025
'0:01.288',-0.025,-0.030
'0:01.290',-0.010,-0.030
'0:01.292',0.005,-0.035
'0:01.294',0.015,-0.035
'0:01.296',0.020,-0.035
'0:01.298',0.015,-0.030
'0:01.300',0.005,-0.030
'0:01.302',0.005,-0.025
'0:01.304',0.000,-0.015
'0:01.306',0.000,-0.010
'0:01.308',0.000,-0.005
'0:01.310',0.000,0.000
'0:01.312',0.005,0.000
'0:01.314',0.020,0.000
'0:01.316',0.030,0.000
'0:01.318',0.020,-0.005
'0:01.320',-0.010,-0.010
'0:01.322',-0.025,-0.015
'0:01.324',-0.035,-0.020
'0:01.326',-0.055,-0.025
'0:01.328',-0.050,-0.030
'0:01.330',-0.045,-0.035
'0:01.332',-0.040,-0.040
'0:01.334',-0.045,-0.045
'0:01.336',-0.025,-0.055
'0:01.338',-0.035,-0.060
'0:01.340',-0.060,-0.070
'0:01.342',-0.060,-0.075
'0:01.344',-0.070,-0.080
'0:01.346',-0.080,-0.080
'0:01.348',-0.065,-0.080
'0:01.350',-0.055,-0.080
'0:01.352',-0.050,-0.075
'0:01.354',-0.050,-0.075
'0:01.356',-0.035,-0.075
'0:01.358',-0.055,-0.075
'0:01.360',-0.055,-0.075
'0:01.362',-0.060,-0.075
'0:01.364',-0.065,-0.075
'0:01.366',-0.065,-0.075
'0:01.368',-0.060,-0.075
'0:01.370',-0.065,-0.075
'0:01.372',-0.065,-0.075
'0:01.374',-0.065,-0.075
'0:01.376',-0.065,-0.080
'0:01.378',-0.065,-0.080
'0:01.380',-0.080,-0.085
'0:01.382',-0.085,-0.090
'0:01.384',-0.080,-0.095
'0:01.386',-0.100,-0.095
'0:01.388',-0.090,-0.095
'0:01.390',-0.080,-0.095
'0:01.392',-0.060,-0.090
'0:01.394',-0.045,-0.085
'0:01.396',-0.045,-0.085
'0:01.398',-0.055,-0.085
'0:01.400',-0.060,-0.085
'0:01.402',-0.085,-0.090
'0:01.404',-0.085,-0.095
'0:01.406',-0.100,-0.100
'0:01.408',-0.100,-0.105
'0:01.410',-0.080,-0.105
'0:01.412',-0.075,-0.105
'0:01.414',-0.070,-0.105
'0:01.416',-0.075,-0.105
'0:01.418',-0.095,-0.105
'0:01.420',-0.105,-0.110
'0:01.422',-0.115,-0.115
'0:01.424',-0.140,-0.125
'0:01.426',-0.155,-0.130
'0:01.428',-0.135,-0.130
'0:01.430',-0.105,-0.120
'0:01.432',-0.045,-0.095
'0:01.434',0.020,-0.055
'0:01.436',0.075,-0.005
'0:01.438',0.125,0.060
'0:01.440',0.170,0.140
'0:01.442',0.225,0.225
'0:01.444',0.275,0.310
'0:01.446',0.390,0.395
'0:01.448',0.515,0.470
'0:01.450',0.640,0.530
'0:01.452',0.690,0.575
'0:01.454',0.660,0.595
'0:01.456',0.615,0.590
'0:01.458',0.555,0.555
'0:01.460',0.485,0.495
'0:01.462',0.390,0.410
'0:01.464',0.305,0.310
'0:01.466',0.195,0.200
'0:01.468',0.085,0.085
'0:01.470',-0.030,-0.015
'0:01.472',-0.115,-0.095
'0:01.474',-0.155,-0.150
'0:01.476',-0.145,-0.180
'0:01.478',-0.125,-0.185
'0:01.480',-0.115,-0.170
'0:01.482',-0.110,-0.140
'0:01.484',-0.085,-0.110
'0:01.486',-0.050,-0.080
'0:01.488',-0.055,-0.060
'0:01.490',-0.030,-0.055
'0:01.492',-0.035,-0.055
'0:01.494',-0.045,-0.065
'0:01.496',-0.040,-0.075
'0:01.498',-0.040,-0.085
'0:01.500',-0.065,-0.095
'0:01.502',-0.070,-0.100
'0:01.504',-0.080,-0.100
'0:01.506',-0.075,-0.095
'0:01.508',-0.070,-0.090
'0:01.510',-0.060,-0.085
'0:01.512',-0.050,-0.085
'0:01.514',-0.030,-0.080
'0:01.516',-0.045,-0.080
'0:01.518',-0.045,-0.080
'0:01.520',-0.055,-0.080
'0:01.522',-0.060,-0.080
'0:01.524',-0.055,-0.080
'0:01.526',-0.060,-0.075
'0:01.528',-0.040,-0.070
'0:01.530',-0.035,-0.070
'0:01.532',-0.025,-0.065
'0:01.534',-0.010,-0.065
'0:01.536',-0.025,-0.065
'0:01.538',-0.045,-0.070
'0:01.540',-0.050,-0.070
'0:01.542',-0.055,-0.070
'0:01.544',-0.050,-0.065
'0:01.546',-0.055,-0.065
'0:01.548',-0.030,-0.060
'0:01.550',-0.025,-0.055
'0:01.552',-0.020,-0.050
'0:01.554',-0.010,-0.045
'0:01.556',-0.010,-0.045
'0:01.558',-0.020,-0.040
'0:01.560',-0.030,-0.040
'0:01.562',-0.025,-0.035
'0:01.564',-0.020,-0.035
'0:01.566',-0.015,-0.030
'0:01.568',0.005,-0.025
'0:01.570',0.020,-0.025
'0:01.572',0.025,-0.020
'0:01.574',0.025,-0.015
'0:01.576',0.015,-0.015
'0:01.578',0.005,-0.015
'0:01.580',-0.010,-0.015
'0:01.582',-0.010,-0.020
'0:01.584',-0.010,-0.020
'0:01.586',0.010,-0.020
'0:01.588',0.015,-0.020
'0:01.590',0.025,-0.020
'0:01.592',0.045,-0.015
'0:01.594',0.060,-0.010
'0:01.596',0.065,-0.005
'0:01.598',0.050,0.005
'0:01.600',0.040,0.010
'0:01.602',0.045,0.015
'0:01.604',0.040,0.020
'0:01.606',0.045,0.020
'0:01.608',0.045,0.020
'0:01.610',0.060,0.020
'0:01.612',0.065,0.020
'0:01.614',0.070,0.015
'0:01.616',0.065,0.015
'0:01.618',0.065,0.010
'0:01.620',0.065,0.010
'0:01.622',0.065,0.015
'0:01.624',0.075,0.020
'0:01.626',0.080,0.025
'0:01.628',0.100,0.035
'0:01.630',0.115,0.045
'0:01.632',0.125,0.060
'0:01.634',0.130,0.070
'0:01.636',0.140,0.075
'0:01.638',0.140,0.085
'0:01.640',0.150,0.090
'0:01.642',0.135,0.095
'0:01.644',0.130,0.100
'0:01.646',0.140,0.105
'0:01.648',0.170,0.110
'0:01.650',0.175,0.115
'0:01.652',0.190,0.125
'0:01.654',0.200,0.130
'0:01.656',0.205,0.140
'0:01.658',0.190,0.145
'0:01.660',0.200,0.155
'0:01.662',0.200,0.160
'0:01.664',0.195,0.160
'0:01.666',0.210,0.165
'0:01.668',0.225,0.165
'0:01.670',0.235,0.165
'0:01.672',0.230,0.170
'0:01.674',0.240,0.175
'0:01.676',0.225,0.175
'0:01.678',0.225,0.175
'0:01.680',0.205,0.175
'0:01.682',0.200,0.175
'0:01.684',0.190,0.170
'0:01.686',0.190,0.165
'0:01.688',0.205,0.155
'0:01.690',0.205,0.150
'0:01.692',0.220,0.145
'0:01.694',0.230,0.140
'0:01.696',0.205,0.140
'0:01.698',0.195,0.140
'0:01.700',0.175,0.140
'0:01.702',0.165,0.140
'0:01.704',0.155,0.135
'0:01.706',0.150,0.130
'0:01.708',0.140,0.120
'0:01.710',0.135,0.110
'0:01.712',0.130,0.090
'0:01.714',0.110,0.075
'0:01.716',0.105,0.060
'0:01.718',0.085,0.045
'0:01.720',0.075,0.035
'0:01.722',0.065,0.030
'0:01.724',0.060,0.030
'0:01.726',0.065,0.025
'0:01.728',0.060,0.025
'0:01.730',0.060,0.020
'0:01.732',0.050,0.020
'0:01.734',0.045,0.010
'0:01.736',0.040,0.000
'0:01.738',0.020,-0.010
'0:01.740',0.010,-0.020
'0:01.742',0.000,-0.030
'0:01.744',0.000,-0.035
'0:01.746',0.010,-0.040
'0:01.748',0.015,-0.045
